rownumber,customerid,surname,creditscore,geography,gender,age,tenure,balance,numofproducts,hascrcard,isactivemember,estimatedsalary,exited,complain,satisfaction_score,card_type,point_earned,payment_proxy,churn,age_group,tenure_group,balance_group,average_revenue_group,annual_value_proxy,monthly_value_proxy,monthly_spend_category,customer_lifetime_value,customer_value_segment,revenue_at_risk,high_risk_customer_flag,active_status,credit_card_status,product_segment
11,15767821,Bearce,528,France,Male,31,6,102016.72,2,0,0,80181.12,0,0,3,GOLD,264,GOLD,0,31-40,6-8 years,High,Medium,2813.24,234.44,Medium,16879.44,Gold,0.0,0,Inactive,No Credit Card,2 product(s)
12,15737173,Andrews,497,Spain,Male,24,3,0.0,2,1,0,76390.01,0,0,3,GOLD,249,GOLD,0,18-30,3-5 years,Low,Medium,746.45,62.2,Low,2239.35,Bronze,0.0,0,Inactive,Has Credit Card,2 product(s)
13,15632264,Kay,476,France,Female,34,10,0.0,2,1,0,26260.98,0,0,3,SILVER,119,SILVER,0,31-40,9-10 years,Low,Low,430.8,35.9,Low,4308.0,Silver,0.0,0,Inactive,Has Credit Card,2 product(s)
14,15691483,Chin,549,France,Female,25,5,0.0,2,0,0,190857.79,0,0,3,PLATINUM,549,PLATINUM,0,18-30,3-5 years,Low,Very High,1468.79,122.4,Medium,7343.95,Silver,0.0,0,Inactive,No Credit Card,2 product(s)
15,15600882,Scott,635,Spain,Female,35,7,0.0,2,1,1,65951.65,0,0,2,GOLD,318,GOLD,0,31-40,6-8 years,Low,Medium,728.76,60.73,Low,5101.32,Silver,0.0,0,Active,Has Credit Card,2 product(s)
16,15643966,Goforth,616,Germany,Male,45,3,143129.41,2,0,1,64327.26,0,0,5,GOLD,308,GOLD,0,41-50,3-5 years,Very High,Medium,3578.22,298.18,Very High,10734.66,Gold,0.0,0,Active,No Credit Card,2 product(s)
17,15737452,Romeo,653,Germany,Male,58,1,132602.88,1,1,0,5097.67,1,0,2,SILVER,163,SILVER,1,51-60,0-2 years,Very High,Low,2879.05,239.92,High,2879.05,Bronze,2879.05,1,Inactive,Has Credit Card,1 product(s)
18,15788218,Henderson,549,Spain,Female,24,9,0.0,2,1,1,14406.41,0,0,3,SILVER,544,SILVER,0,18-30,9-10 years,Low,Low,584.03,48.67,Low,5256.27,Silver,0.0,0,Active,Has Credit Card,2 product(s)
19,15661507,Muldrow,587,Spain,Male,45,6,0.0,1,0,0,158684.81,0,0,3,PLATINUM,732,PLATINUM,0,41-50,6-8 years,Low,Very High,1279.42,106.62,Medium,7676.52,Silver,0.0,0,Inactive,No Credit Card,1 product(s)
20,15568982,Hao,726,France,Female,24,6,0.0,2,1,1,54724.03,0,0,4,GOLD,477,GOLD,0,18-30,6-8 years,Low,Medium,752.12,62.68,Low,4512.72,Silver,0.0,0,Active,Has Credit Card,2 product(s)
21,15577657,McDonald,732,France,Male,41,8,0.0,2,1,1,170886.17,0,0,3,PLATINUM,568,PLATINUM,0,41-50,6-8 years,Low,Very High,1378.43,114.87,Medium,11027.44,Gold,0.0,0,Active,Has Credit Card,2 product(s)
22,15597945,Dellucci,636,Spain,Female,32,8,0.0,2,1,0,138555.46,0,0,2,DIAMOND,336,DIAMOND,0,31-40,6-8 years,Low,High,1100.78,91.73,Low,8806.24,Silver,0.0,1,Inactive,Has Credit Card,2 product(s)
23,15699309,Gerasimov,510,Spain,Female,38,4,0.0,1,1,0,118913.53,1,1,2,DIAMOND,887,DIAMOND,1,31-40,3-5 years,Low,High,1158.07,96.51,Low,4632.28,Silver,1158.07,1,Inactive,Has Credit Card,1 product(s)
24,15725737,Mosman,669,France,Male,46,3,0.0,2,0,1,8487.75,0,0,2,SILVER,665,SILVER,0,41-50,3-5 years,Low,Low,614.94,51.24,Low,1844.82,Bronze,0.0,0,Active,No Credit Card,2 product(s)
25,15625047,Yen,846,France,Female,38,5,0.0,1,1,1,187616.16,0,0,3,PLATINUM,225,PLATINUM,0,31-40,3-5 years,Low,Very High,1170.58,97.55,Low,5852.9,Silver,0.0,0,Active,Has Credit Card,1 product(s)
26,15738191,Maclean,577,France,Male,25,3,0.0,2,0,1,124508.29,0,0,3,PLATINUM,659,PLATINUM,0,18-30,3-5 years,Low,High,1192.04,99.34,Low,3576.12,Bronze,0.0,0,Active,No Credit Card,2 product(s)
27,15736816,Young,756,Germany,Male,36,2,136815.64,1,1,1,170041.95,0,0,5,DIAMOND,236,DIAMOND,0,31-40,0-2 years,Very High,Very High,3824.52,318.71,Very High,7649.04,Silver,0.0,0,Active,Has Credit Card,1 product(s)
28,15700772,Nebechi,571,France,Male,44,9,0.0,2,0,0,38433.35,0,0,4,PLATINUM,448,PLATINUM,0,41-50,9-10 years,Low,Low,656.17,54.68,Low,5905.53,Silver,0.0,0,Inactive,No Credit Card,2 product(s)
29,15728693,McWilliams,574,Germany,Female,43,3,141349.43,1,1,1,100187.43,0,0,5,DIAMOND,499,DIAMOND,0,41-50,3-5 years,Very High,Medium,3697.43,308.12,Very High,11092.29,Gold,0.0,0,Active,Has Credit Card,1 product(s)
30,15656300,Lucciano,411,France,Male,29,0,59697.17,2,1,1,53483.21,0,0,2,GOLD,343,GOLD,0,18-30,0-2 years,Medium,Medium,1872.86,156.07,Medium,1872.86,Bronze,0.0,0,Active,Has Credit Card,2 product(s)
31,15589475,Azikiwe,591,Spain,Female,39,3,0.0,3,1,0,140469.38,1,1,3,DIAMOND,298,DIAMOND,1,31-40,3-5 years,Low,High,1211.35,100.95,Medium,3634.05,Bronze,1211.35,1,Inactive,Has Credit Card,3+ products
32,15706552,Odinakachukwu,533,France,Male,36,7,85311.7,1,0,1,156731.91,0,0,5,SILVER,628,SILVER,0,31-40,6-8 years,Medium,Very High,2923.89,243.66,High,20467.23,Platinum,0.0,0,Active,No Credit Card,1 product(s)
33,15750181,Sanderson,553,Germany,Male,41,9,110112.54,2,0,0,81898.81,0,0,3,GOLD,611,GOLD,0,41-50,9-10 years,High,Medium,3157.24,263.1,High,28415.16,Platinum,0.0,0,Inactive,No Credit Card,2 product(s)
34,15659428,Maggard,520,Spain,Female,42,6,0.0,2,1,1,34410.55,0,0,2,SILVER,922,SILVER,0,41-50,6-8 years,Low,Low,873.05,72.75,Low,5238.3,Silver,0.0,0,Active,Has Credit Card,2 product(s)
35,15732963,Clements,722,Spain,Female,29,9,0.0,2,1,1,142033.07,0,0,5,PLATINUM,276,PLATINUM,0,18-30,9-10 years,Low,High,1088.17,90.68,Low,9793.53,Gold,0.0,0,Active,Has Credit Card,2 product(s)
36,15794171,Lombardo,475,France,Female,45,0,134264.04,1,1,0,27822.99,1,1,1,DIAMOND,877,DIAMOND,1,41-50,0-2 years,Very High,Low,3382.9,281.91,High,3382.9,Bronze,3382.9,1,Inactive,Has Credit Card,1 product(s)
37,15788448,Watson,490,Spain,Male,31,3,145260.23,1,0,1,114066.77,0,0,4,SILVER,471,SILVER,0,31-40,3-5 years,Very High,High,3831.04,319.25,Very High,11493.12,Gold,0.0,0,Active,No Credit Card,1 product(s)
38,15729599,Lorenzo,804,Spain,Male,33,7,76548.6,1,0,1,98453.45,0,0,2,GOLD,994,GOLD,0,31-40,6-8 years,Medium,Medium,2640.24,220.02,Medium,18481.68,Gold,0.0,0,Active,No Credit Card,1 product(s)
39,15717426,Armstrong,850,France,Male,36,7,0.0,1,1,1,40812.9,0,0,3,GOLD,944,GOLD,0,31-40,6-8 years,Low,Low,796.06,66.34,Low,5572.42,Silver,0.0,0,Active,Has Credit Card,1 product(s)
40,15585768,Cameron,582,Germany,Male,41,6,70349.48,2,0,1,178074.04,0,0,5,GOLD,419,GOLD,0,41-50,6-8 years,Medium,Very High,2746.86,228.9,Medium,16481.16,Gold,0.0,0,Active,No Credit Card,2 product(s)
41,15619360,Hsiao,472,Spain,Male,40,4,0.0,1,1,0,70154.22,0,0,4,DIAMOND,545,DIAMOND,0,31-40,3-5 years,Low,Medium,743.27,61.94,Low,2973.08,Bronze,0.0,0,Inactive,Has Credit Card,1 product(s)
42,15738148,Clarke,465,France,Female,51,8,122522.32,1,0,0,181297.65,1,1,5,SILVER,828,SILVER,1,51-60,6-8 years,High,Very High,3890.93,324.24,Very High,31127.44,Platinum,3890.93,1,Inactive,No Credit Card,1 product(s)
43,15687946,Osborne,556,France,Female,61,2,117419.35,1,1,1,94153.83,0,0,3,PLATINUM,789,PLATINUM,0,61+,0-2 years,High,Medium,3333.66,277.8,High,6667.32,Silver,0.0,0,Active,Has Credit Card,1 product(s)
44,15755196,Lavine,834,France,Female,49,2,131394.56,1,0,0,194365.76,1,1,2,GOLD,567,GOLD,1,41-50,0-2 years,Very High,Very High,4003.22,333.6,Very High,8006.44,Silver,4003.22,1,Inactive,No Credit Card,1 product(s)
45,15684171,Bianchi,660,Spain,Female,61,5,155931.11,1,1,1,158338.39,0,0,1,PLATINUM,884,PLATINUM,0,61+,3-5 years,Very High,Very High,4472.31,372.69,Very High,22361.55,Platinum,0.0,0,Active,Has Credit Card,1 product(s)
46,15754849,Tyler,776,Germany,Female,32,4,109421.13,2,1,1,126517.46,0,0,1,SILVER,296,SILVER,0,31-40,3-5 years,High,High,3209.01,267.42,High,12836.04,Gold,0.0,0,Active,Has Credit Card,2 product(s)
47,15602280,Martin,829,Germany,Female,27,9,112045.67,1,1,1,119708.21,1,1,3,DIAMOND,779,DIAMOND,1,18-30,9-10 years,High,High,3348.95,279.08,High,30140.55,Platinum,3348.95,1,Active,Has Credit Card,1 product(s)
48,15771573,Okagbue,637,Germany,Female,39,9,137843.8,1,1,1,117622.8,1,1,1,SILVER,730,SILVER,1,31-40,9-10 years,Very High,High,3829.99,319.17,Very High,34469.91,Platinum,3829.99,1,Active,Has Credit Card,1 product(s)
49,15766205,Yin,550,Germany,Male,38,2,103391.38,1,0,1,90878.13,0,0,3,DIAMOND,960,DIAMOND,0,31-40,0-2 years,High,Medium,3122.22,260.18,High,6244.44,Silver,0.0,0,Active,No Credit Card,1 product(s)
50,15771873,Buccho,776,Germany,Female,37,2,103769.22,2,1,0,194099.12,0,0,1,SILVER,268,SILVER,0,31-40,0-2 years,High,Very High,3419.88,284.99,High,6839.76,Silver,0.0,1,Inactive,Has Credit Card,2 product(s)
51,15616550,Chidiebele,698,Germany,Male,44,10,116363.37,2,1,0,198059.16,0,0,4,SILVER,829,SILVER,0,41-50,9-10 years,High,Very High,3972.06,331.0,Very High,39720.6,Platinum,0.0,0,Inactive,Has Credit Card,2 product(s)
52,15768193,Trevisani,585,Germany,Male,36,5,146050.97,2,0,0,86424.57,0,0,3,SILVER,665,SILVER,0,31-40,3-5 years,Very High,Medium,3925.64,327.14,Very High,19628.2,Gold,0.0,0,Inactive,No Credit Card,2 product(s)
53,15683553,O'Brien,788,France,Female,33,5,0.0,2,0,0,116978.19,0,0,3,GOLD,982,GOLD,0,31-40,3-5 years,Low,High,1315.89,109.66,Medium,6579.45,Silver,0.0,0,Inactive,No Credit Card,2 product(s)
54,15702298,Parkhill,655,Germany,Male,41,8,125561.97,1,0,0,164040.94,1,1,3,SILVER,343,SILVER,1,41-50,6-8 years,High,Very High,3622.94,301.91,Very High,28983.52,Platinum,3622.94,1,Inactive,No Credit Card,1 product(s)
55,15569590,Yoo,601,Germany,Male,42,1,98495.72,1,1,0,40014.76,1,1,2,DIAMOND,225,DIAMOND,1,41-50,0-2 years,High,Low,2402.49,200.21,Medium,2402.49,Bronze,2402.49,1,Inactive,Has Credit Card,1 product(s)
56,15760861,Phillipps,619,France,Male,43,1,125211.92,1,1,1,113410.49,0,0,5,SILVER,657,SILVER,0,41-50,0-2 years,High,High,3519.79,293.32,High,3519.79,Bronze,0.0,0,Active,Has Credit Card,1 product(s)
57,15630053,Tsao,656,France,Male,45,5,127864.4,1,1,0,87107.57,0,0,2,PLATINUM,221,PLATINUM,0,41-50,3-5 years,Very High,Medium,3223.33,268.61,High,16116.65,Gold,0.0,1,Inactive,Has Credit Card,1 product(s)
58,15647091,Endrizzi,725,Germany,Male,19,0,75888.2,1,0,0,45613.75,0,0,2,PLATINUM,406,PLATINUM,0,18-30,0-2 years,Medium,Low,2068.83,172.4,Medium,2068.83,Bronze,0.0,1,Inactive,No Credit Card,1 product(s)
59,15623944,T'ien,511,Spain,Female,66,4,0.0,1,1,0,1643.11,1,1,5,SILVER,549,SILVER,1,61+,3-5 years,Low,Low,402.72,33.56,Low,1610.88,Bronze,402.72,1,Inactive,Has Credit Card,1 product(s)
60,15804771,Velazquez,614,France,Male,51,4,40685.92,1,1,1,46775.28,0,0,4,PLATINUM,954,PLATINUM,0,51-60,3-5 years,Medium,Low,1644.59,137.05,Medium,6578.36,Silver,0.0,0,Active,Has Credit Card,1 product(s)
61,15651280,Hunter,742,Germany,Male,35,5,136857.0,1,0,0,84509.57,0,0,4,GOLD,823,GOLD,0,31-40,3-5 years,Very High,Medium,3691.19,307.6,Very High,18455.95,Gold,0.0,0,Inactive,No Credit Card,1 product(s)
62,15773469,Clark,687,Germany,Female,27,9,152328.88,2,0,0,126494.82,0,0,5,DIAMOND,769,DIAMOND,0,18-30,9-10 years,Very High,High,4303.55,358.63,Very High,38731.95,Platinum,0.0,0,Inactive,No Credit Card,2 product(s)
63,15702014,Jeffrey,555,Spain,Male,33,1,56084.69,2,0,0,178798.13,0,0,5,PLATINUM,481,PLATINUM,0,31-40,0-2 years,Medium,Very High,2496.18,208.02,Medium,2496.18,Bronze,0.0,0,Inactive,No Credit Card,2 product(s)
64,15751208,Pirozzi,684,Spain,Male,56,8,78707.16,1,1,1,99398.36,0,0,4,SILVER,903,SILVER,0,51-60,6-8 years,Medium,Medium,2642.64,220.22,Medium,21141.12,Platinum,0.0,0,Active,Has Credit Card,1 product(s)
65,15592461,Jackson,603,Germany,Male,26,4,109166.37,1,1,1,92840.67,0,0,3,PLATINUM,882,PLATINUM,0,18-30,3-5 years,High,Medium,3208.53,267.38,High,12834.12,Gold,0.0,0,Active,Has Credit Card,1 product(s)
66,15789484,Hammond,751,Germany,Female,36,6,169831.46,2,1,1,27758.36,0,1,5,GOLD,379,GOLD,0,31-40,6-8 years,Very High,Low,3964.92,330.41,Very High,23789.52,Platinum,0.0,1,Active,Has Credit Card,2 product(s)
67,15696061,Brownless,581,Germany,Female,34,1,101633.04,1,1,0,110431.51,0,1,3,PLATINUM,469,PLATINUM,0,31-40,0-2 years,High,High,2939.32,244.94,High,2939.32,Bronze,0.0,1,Inactive,Has Credit Card,1 product(s)
68,15641582,Chibugo,735,Germany,Male,43,10,123180.01,2,1,1,196673.28,0,1,3,PLATINUM,683,PLATINUM,0,41-50,9-10 years,High,Very High,4028.47,335.71,Very High,40284.7,Platinum,0.0,1,Active,Has Credit Card,2 product(s)
69,15638424,Glauert,661,Germany,Female,35,5,150725.53,2,0,1,113656.85,0,1,1,GOLD,770,GOLD,0,31-40,3-5 years,Very High,High,4207.79,350.65,Very High,21038.95,Platinum,0.0,1,Active,No Credit Card,2 product(s)
70,15755648,Pisano,675,France,Female,21,8,98373.26,1,1,0,18203.0,0,0,5,SILVER,985,SILVER,0,18-30,6-8 years,High,Low,2670.98,222.58,Medium,21367.84,Platinum,0.0,0,Inactive,Has Credit Card,1 product(s)
71,15703793,Konovalova,738,Germany,Male,58,2,133745.44,4,1,0,28373.86,1,1,4,GOLD,725,GOLD,1,51-60,0-2 years,Very High,Low,3659.28,304.94,Very High,7318.56,Silver,3659.28,1,Inactive,Has Credit Card,3+ products
72,15620344,McKee,813,France,Male,29,6,0.0,1,1,0,33953.87,0,0,3,PLATINUM,259,PLATINUM,0,18-30,6-8 years,Low,Low,419.27,34.94,Low,2515.62,Bronze,0.0,0,Inactive,Has Credit Card,1 product(s)
73,15812518,Palermo,657,Spain,Female,37,0,163607.18,1,0,1,44203.55,0,0,2,GOLD,979,GOLD,0,31-40,0-2 years,Very High,Low,4102.66,341.89,Very High,4102.66,Bronze,0.0,0,Active,No Credit Card,1 product(s)
74,15779052,Ballard,604,Germany,Female,25,5,157780.84,2,1,1,58426.81,0,0,2,SILVER,988,SILVER,0,18-30,3-5 years,Very High,Medium,4181.75,348.48,Very High,20908.75,Platinum,0.0,0,Active,Has Credit Card,2 product(s)
75,15770811,Wallace,519,France,Male,36,9,0.0,2,0,1,145562.4,0,0,2,PLATINUM,833,PLATINUM,0,31-40,9-10 years,Low,High,1384.31,115.36,Medium,12458.79,Gold,0.0,0,Active,No Credit Card,2 product(s)
76,15780961,Cavenagh,735,France,Female,21,1,178718.19,2,1,0,22388.0,0,0,1,PLATINUM,527,PLATINUM,0,18-30,0-2 years,Very High,Low,4189.8,349.15,Very High,4189.8,Bronze,0.0,1,Inactive,Has Credit Card,2 product(s)
77,15614049,Hu,664,France,Male,55,8,0.0,2,1,1,139161.64,0,0,5,SILVER,220,SILVER,0,51-60,6-8 years,Low,High,1045.81,87.15,Low,8366.48,Silver,0.0,0,Active,Has Credit Card,2 product(s)
78,15662085,Read,678,France,Female,32,9,0.0,1,1,1,148210.64,0,0,4,GOLD,983,GOLD,0,31-40,9-10 years,Low,High,1352.55,112.71,Medium,12172.95,Gold,0.0,0,Active,Has Credit Card,1 product(s)
79,15575185,Bushell,757,Spain,Male,33,5,77253.22,1,0,1,194239.63,0,0,3,SILVER,582,SILVER,0,31-40,3-5 years,Medium,Very High,2927.26,243.94,High,14636.3,Gold,0.0,0,Active,No Credit Card,1 product(s)
80,15803136,Postle,416,Germany,Female,41,10,122189.66,2,1,0,98301.61,0,0,3,SILVER,281,SILVER,0,41-50,9-10 years,High,Medium,3315.8,276.32,High,33158.0,Platinum,0.0,0,Inactive,Has Credit Card,2 product(s)
81,15706021,Buley,665,France,Female,34,1,96645.54,2,0,0,171413.66,0,0,3,DIAMOND,798,DIAMOND,0,31-40,0-2 years,Medium,Very High,3428.98,285.75,High,3428.98,Bronze,0.0,0,Inactive,No Credit Card,2 product(s)
82,15663706,Leonard,777,France,Female,32,2,0.0,1,1,0,136458.19,1,1,5,SILVER,917,SILVER,1,31-40,0-2 years,Low,High,1260.79,105.07,Medium,2521.58,Bronze,1260.79,1,Inactive,Has Credit Card,1 product(s)
83,15641732,Mills,543,France,Female,36,3,0.0,2,0,0,26019.59,0,0,2,DIAMOND,255,DIAMOND,0,31-40,3-5 years,Low,Low,497.6,41.47,Low,1492.8,Bronze,0.0,1,Inactive,No Credit Card,2 product(s)
84,15701164,Onyeorulu,506,France,Female,34,4,90307.62,1,1,1,159235.29,0,0,4,SILVER,511,SILVER,0,31-40,3-5 years,Medium,Very High,2977.83,248.15,High,11911.32,Gold,0.0,0,Active,Has Credit Card,1 product(s)
85,15738751,Beit,493,France,Female,46,4,0.0,2,1,0,1907.66,0,0,1,SILVER,498,SILVER,0,41-50,3-5 years,Low,Low,498.54,41.54,Low,1994.16,Bronze,0.0,1,Inactive,Has Credit Card,2 product(s)
86,15805254,Ndukaku,652,Spain,Female,75,10,0.0,2,1,1,114675.75,0,0,5,DIAMOND,651,DIAMOND,0,61+,9-10 years,Low,High,1138.88,94.91,Low,11388.8,Gold,0.0,0,Active,Has Credit Card,2 product(s)
87,15762418,Gant,750,Spain,Male,22,3,121681.82,1,1,0,128643.35,1,1,2,SILVER,852,SILVER,1,18-30,3-5 years,High,High,3622.85,301.9,Very High,10868.55,Gold,3622.85,1,Inactive,Has Credit Card,1 product(s)
88,15625759,Rowley,729,France,Male,30,9,0.0,2,1,0,151869.35,0,0,1,DIAMOND,807,DIAMOND,0,18-30,9-10 years,Low,Very High,1402.85,116.9,Medium,12625.65,Gold,0.0,1,Inactive,Has Credit Card,2 product(s)
89,15622897,Sharpe,646,France,Female,46,4,0.0,3,1,0,93251.42,1,1,3,PLATINUM,470,PLATINUM,1,41-50,3-5 years,Low,Medium,1061.26,88.44,Low,4245.04,Silver,1061.26,1,Inactive,Has Credit Card,3+ products
90,15767954,Osborne,635,Germany,Female,28,3,81623.67,2,1,1,156791.36,0,0,1,DIAMOND,659,DIAMOND,0,18-30,3-5 years,Medium,Very High,2985.93,248.83,High,8957.79,Silver,0.0,0,Active,Has Credit Card,2 product(s)
91,15757535,Heap,647,Spain,Female,44,5,0.0,3,1,1,174205.22,1,1,3,DIAMOND,752,DIAMOND,1,41-50,3-5 years,Low,Very High,1607.03,133.92,Medium,8035.15,Silver,1607.03,1,Active,Has Credit Card,3+ products
92,15731511,Ritchie,808,France,Male,45,7,118626.55,2,1,0,147132.46,0,0,1,SILVER,559,SILVER,0,41-50,6-8 years,High,High,3627.69,302.31,Very High,25393.83,Platinum,0.0,1,Inactive,Has Credit Card,2 product(s)
93,15809248,Cole,524,France,Female,36,10,0.0,2,1,0,109614.57,0,0,2,GOLD,375,GOLD,0,31-40,9-10 years,Low,High,975.57,81.3,Low,9755.7,Gold,0.0,1,Inactive,Has Credit Card,2 product(s)
94,15640635,Capon,769,France,Male,29,8,0.0,2,1,1,172290.61,0,0,2,DIAMOND,411,DIAMOND,0,18-30,6-8 years,Low,Very High,1306.95,108.91,Medium,10455.6,Gold,0.0,0,Active,Has Credit Card,2 product(s)
95,15676966,Capon,730,Spain,Male,42,4,0.0,2,0,1,85982.47,0,0,4,DIAMOND,722,DIAMOND,0,41-50,3-5 years,Low,Medium,1030.91,85.91,Low,4123.64,Bronze,0.0,0,Active,No Credit Card,2 product(s)
96,15699461,Fiorentini,515,Spain,Male,35,10,176273.95,1,0,1,121277.78,0,0,1,GOLD,231,GOLD,0,31-40,9-10 years,Very High,High,4367.37,363.95,Very High,43673.7,Platinum,0.0,0,Active,No Credit Card,1 product(s)
97,15738721,Graham,773,Spain,Male,41,9,102827.44,1,0,1,64595.25,0,0,5,DIAMOND,488,DIAMOND,0,41-50,9-10 years,High,Medium,2743.53,228.63,Medium,24691.77,Platinum,0.0,0,Active,No Credit Card,1 product(s)
98,15693683,Yuille,814,Germany,Male,29,8,97086.4,2,1,1,197276.13,0,0,2,GOLD,965,GOLD,0,18-30,6-8 years,Medium,Very High,3650.61,304.22,Very High,29204.88,Platinum,0.0,0,Active,Has Credit Card,2 product(s)
99,15604348,Allard,710,Spain,Male,22,8,0.0,2,0,0,99645.04,0,0,4,SILVER,289,SILVER,0,18-30,6-8 years,Low,Medium,882.73,73.56,Low,7061.84,Silver,0.0,0,Inactive,No Credit Card,2 product(s)
100,15633059,Fanucci,413,France,Male,34,9,0.0,2,0,0,6534.18,0,0,1,PLATINUM,449,PLATINUM,0,31-40,9-10 years,Low,Low,497.17,41.43,Low,4474.53,Silver,0.0,1,Inactive,No Credit Card,2 product(s)
101,15808582,Fu,665,France,Female,40,6,0.0,1,1,1,161848.03,0,0,2,SILVER,651,SILVER,0,31-40,6-8 years,Low,Very High,1254.74,104.56,Medium,7528.44,Silver,0.0,0,Active,Has Credit Card,1 product(s)
102,15743192,Hung,623,France,Female,44,6,0.0,2,0,0,167162.43,0,0,2,DIAMOND,520,DIAMOND,0,41-50,6-8 years,Low,Very High,1335.81,111.32,Medium,8014.86,Silver,0.0,1,Inactive,No Credit Card,2 product(s)
103,15580146,Hung,738,France,Male,31,9,82674.15,1,1,0,41970.72,0,0,4,DIAMOND,234,DIAMOND,0,31-40,9-10 years,Medium,Low,2100.34,175.03,Medium,18903.06,Gold,0.0,0,Inactive,Has Credit Card,1 product(s)
104,15776605,Bradley,528,Spain,Male,36,7,0.0,2,1,0,60536.56,0,0,5,SILVER,458,SILVER,0,31-40,6-8 years,Low,Medium,771.68,64.31,Low,5401.76,Silver,0.0,0,Inactive,Has Credit Card,2 product(s)
105,15804919,Dunbabin,670,Spain,Female,65,1,0.0,1,1,1,177655.68,1,1,2,GOLD,915,GOLD,1,61+,0-2 years,Low,Very High,1465.78,122.15,Medium,1465.78,Bronze,1465.78,1,Active,Has Credit Card,1 product(s)
106,15613854,Mauldon,622,Spain,Female,46,4,107073.27,2,1,1,30984.59,1,1,3,GOLD,299,GOLD,1,41-50,3-5 years,High,Low,2685.89,223.82,Medium,10743.56,Gold,2685.89,1,Active,Has Credit Card,2 product(s)
107,15599195,Stiger,582,Germany,Male,32,1,88938.62,1,1,1,10054.53,0,0,4,GOLD,838,GOLD,0,31-40,0-2 years,Medium,Low,2368.05,197.34,Medium,2368.05,Bronze,0.0,0,Active,Has Credit Card,1 product(s)
108,15812878,Parsons,785,Germany,Female,36,2,99806.85,1,0,1,36976.52,0,0,5,PLATINUM,786,PLATINUM,0,31-40,0-2 years,High,Low,2694.02,224.5,Medium,5388.04,Silver,0.0,0,Active,No Credit Card,1 product(s)
109,15602312,Walkom,605,Spain,Male,33,5,150092.8,1,0,0,71862.79,0,0,3,DIAMOND,509,DIAMOND,0,31-40,3-5 years,Very High,Medium,3735.67,311.31,Very High,18678.35,Gold,0.0,0,Inactive,No Credit Card,1 product(s)
110,15744689,T'ang,479,Germany,Male,35,9,92833.89,1,1,0,99449.86,1,1,3,DIAMOND,328,DIAMOND,1,31-40,9-10 years,Medium,Medium,2637.93,219.83,Medium,23741.37,Platinum,2637.93,1,Inactive,Has Credit Card,1 product(s)
